OBJECTID *,Shape *,PermitNo,FeatCLS,Contact,Source,National_I,Type_Flag,Shape_Leng,Calc_Acres,QUAD_DESC,MINE_STATU,PER_NAME,REGION_DES,PERM_ACT,ACT_INAC,DATE_ISS,PER_TYPE,ORIG_PERM,Shape_Length,Shape_Area
3345,Polygon,8980745,SF,KY Division of Mine Permits,KYDMP,KY8980745,INACT,63704.76407,276.636254,THOMAS,RC,LCC KENTUCKY LLC,PIKEVILLE,  MT   2  03/13/2007  SU   2  05/25/2006,Released,5/25/2006,PERMANENT,8980416,63704.76384,12050275.29
3347,Polygon,8980747,SF,KY Division of Mine Permits,KYDMP,KY8980747,INACT,67386.16814,663.758465,MILLARD,RC,LCC KENTUCKY LLC,PIKEVILLE,  SU   3  09/13/2005,Released,9/13/2005,PERMANENT,8980323,51506.19587,18789669.94
3349,Polygon,8980748,SF,KY Division of Mine Permits,KYDMP,KY8980748,INACT,69349.15456,522.440467,VARNEY,RC,LCC KENTUCKY LLC,PIKEVILLE,  MA  14  05/05/2008  SU   4  11/29/2006,Released,11/29/2006,PERMANENT,8980202,41143.86841,8090333.701
3350,Polygon,8980749,SF,KY Division of Mine Permits,KYDMP,KY8980749,INACT,39289.45153,13.721311,THOMAS,RC,LCC KENTUCKY LLC,PIKEVILLE,  MT   5  12/13/2006  SU   4  09/13/2005,Released,9/13/2005,PERMANENT,2980947,28763.1966,455359.2003
3353,Polygon,8980753,SF,KY Division of Mine Permits,KYDMP,KY8980753,INACT,77332.40078,699.346508,VARNEY,RC,LCC KENTUCKY LLC,PIKEVILLE,  MI   9  11/29/2007  MT   3  05/24/2007  MI   8  11/03/2006,Released,6/7/2006,PERMANENT,8980442,38339.88536,13617305.11
3356,Polygon,8980757,SF,KY Division of Mine Permits,KYDMP,KY8980757,INACT,64256.2995,458.327229,VARNEY,RC,LCC KENTUCKY LLC,PIKEVILLE,  SU   1  04/13/2006,Released,4/13/2006,PERMANENT,8980536,64256.2995,19964733.92
3357,Polygon,8980760,SF,KY Division of Mine Permits,KYDMP,KY8980760,INACT,29929.16492,193.559847,THOMAS,RC,LCC KENTUCKY LLC,PIKEVILLE,  MA   2  10/19/2006  SU   2  10/31/2005,Released,10/31/2005,PERMANENT,8980504,27702.1769,6618996.929
3358,Polygon,8980762,SF,KY Division of Mine Permits,DMP E_Shape,KY8980762,INACT,46948.06793,345.166097,META,RC,LCC KENTUCKY LLC,PIKEVILLE,  MI   7  09/01/2009  MI   6  11/17/2008  SU   2  05/02/2006,Released,5/2/2006,PERMANENT,8980480,46948.06686,15035434.86
3361,Polygon,8980770,SF,KY Division of Mine Permits,KYDMP,KY8980770,INACT,56799.5438,165.160278,BROAD BOTTOM,FF,"JOSHUA ENTERPRISES, INC",PRESTONSBURG,  FR   2  01/19/2012  MI   3  12/02/2011  MI   2  04/21/2010,Released,10/20/2006,PERMANENT,8980770,56799.5438,7194381.773
3362,Polygon,8980771,SF,KY Division of Mine Permits,DMP E_Shape,KY8980771,INACT,85175.98646,356.205591,PIKEVILLE,RC,DUSTY DIAMOND COMPANY INC,PIKEVILLE,  MI  11  03/27/2018  MI  10  04/01/2014  AM   4  01/18/2012,Released,12/29/2005,PERMANENT,8980284,82651.17296,14969500.76
3363,Polygon,8980772,SF,KY Division of Mine Permits,KYDMP,KY8980772,INACT,34482.21098,92.027839,BROAD BOTTOM,RC,BLUEGRASS DEVELOPMENT GROUP LLC,PRESTONSBURG,  MI   2  09/01/2015  MT   1  10/19/2006  SU   1  07/26/2006,Released,7/26/2006,PERMANENT,8980664,34482.21098,4008732.697
